instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,time_category
3788,2011-06-11,Summer,0,6,17,0,6,0,Cloudy,0.74,0.6818,0.58,0.1642,147,190,337,Evening Peak
3789,2011-06-11,Summer,0,6,18,0,6,0,Cloudy,0.72,0.6818,0.62,0.1343,131,155,286,Evening Peak
3790,2011-06-11,Summer,0,6,19,0,6,0,Clear,0.7,0.6515,0.65,0.194,97,167,264,Evening Peak
3791,2011-06-11,Summer,0,6,20,0,6,0,Clear,0.68,0.6364,0.74,0.2537,95,180,275,Evening Peak
3792,2011-06-11,Summer,0,6,21,0,6,0,Clear,0.66,0.6212,0.74,0.2239,76,144,220,Off-peak/Night
3793,2011-06-11,Summer,0,6,22,0,6,0,Clear,0.66,0.6061,0.78,0.2239,53,137,190,Off-peak/Night
3794,2011-06-11,Summer,0,6,23,0,6,0,Clear,0.66,0.6212,0.74,0.1045,24,107,131,Off-peak/Night
3795,2011-06-12,Summer,0,6,0,0,0,0,Clear,0.66,0.6061,0.78,0.2239,19,100,119,Off-peak/Night
3796,2011-06-12,Summer,0,6,1,0,0,0,Clear,0.64,0.5758,0.83,0.1045,19,74,93,Off-peak/Night
3797,2011-06-12,Summer,0,6,2,0,0,0,Clear,0.64,0.5758,0.89,0.2537,9,57,66,Off-peak/Night
3798,2011-06-12,Summer,0,6,3,0,0,0,Clear,0.64,0.5758,0.89,0.2836,8,20,28,Off-peak/Night
3799,2011-06-12,Summer,0,6,4,0,0,0,Clear,0.62,0.5606,0.88,0.1642,8,6,14,Off-peak/Night
3800,2011-06-12,Summer,0,6,5,0,0,0,Clear,0.62,0.5606,0.88,0.2239,5,5,10,Off-peak/Night
3801,2011-06-12,Summer,0,6,6,0,0,0,Clear,0.62,0.5606,0.88,0.1045,5,9,14,Morning Peak
3802,2011-06-12,Summer,0,6,7,0,0,0,Clear,0.64,0.5909,0.78,0.1045,7,27,34,Morning Peak
3803,2011-06-12,Summer,0,6,8,0,0,0,Clear,0.7,0.6667,0.74,0.0,28,64,92,Morning Peak
3804,2011-06-12,Summer,0,6,9,0,0,0,Clear,0.72,0.6818,0.66,0.0,75,107,182,Morning Peak
3805,2011-06-12,Summer,0,6,10,0,0,0,Clear,0.76,0.7121,0.58,0.0896,120,191,311,Morning Peak
3806,2011-06-12,Summer,0,6,11,0,0,0,Clear,0.78,0.7273,0.55,0.1045,131,236,367,Mid-day
3807,2011-06-12,Summer,0,6,12,0,0,0,Clear,0.82,0.7576,0.46,0.0,176,244,420,Mid-day
3808,2011-06-12,Summer,0,6,13,0,0,0,Clear,0.78,0.7424,0.59,0.2836,109,264,373,Mid-day
3809,2011-06-12,Summer,0,6,14,0,0,0,Clear,0.82,0.7879,0.56,0.2537,96,219,315,Mid-day
3810,2011-06-12,Summer,0,6,15,0,0,0,Clear,0.8,0.7727,0.59,0.2985,142,218,360,Mid-day
3811,2011-06-12,Summer,0,6,16,0,0,0,Light Rain/Snow,0.68,0.6364,0.83,0.2836,115,235,350,Evening Peak
3812,2011-06-12,Summer,0,6,17,0,0,0,Light Rain/Snow,0.68,0.6364,0.83,0.2836,94,158,252,Evening Peak
3813,2011-06-12,Summer,0,6,18,0,0,0,Clear,0.7,0.6667,0.74,0.1642,69,187,256,Evening Peak
3814,2011-06-12,Summer,0,6,19,0,0,0,Clear,0.7,0.6667,0.74,0.1045,67,156,223,Evening Peak
3815,2011-06-12,Summer,0,6,20,0,0,0,Clear,0.66,0.6061,0.83,0.1642,62,144,206,Evening Peak
3816,2011-06-12,Summer,0,6,21,0,0,0,Clear,0.66,0.6061,0.83,0.1045,39,101,140,Off-peak/Night
3817,2011-06-12,Summer,0,6,22,0,0,0,Clear,0.64,0.5758,0.83,0.1343,31,97,128,Off-peak/Night
3818,2011-06-12,Summer,0,6,23,0,0,0,Clear,0.64,0.5909,0.78,0.194,33,74,107,Off-peak/Night
3819,2011-06-13,Summer,0,6,0,0,1,1,Clear,0.64,0.5909,0.78,0.1343,8,20,28,Off-peak/Night
3820,2011-06-13,Summer,0,6,1,0,1,1,Clear,0.64,0.6061,0.73,0.2239,6,10,16,Off-peak/Night
3821,2011-06-13,Summer,0,6,2,0,1,1,Clear,0.62,0.5909,0.73,0.2836,2,8,10,Off-peak/Night
3822,2011-06-13,Summer,0,6,3,0,1,1,Clear,0.6,0.6061,0.6,0.4925,1,6,7,Off-peak/Night
3823,2011-06-13,Summer,0,6,4,0,1,1,Clear,0.56,0.5303,0.64,0.2985,1,3,4,Off-peak/Night
3824,2011-06-13,Summer,0,6,5,0,1,1,Clear,0.54,0.5152,0.64,0.3881,2,27,29,Off-peak/Night
3825,2011-06-13,Summer,0,6,6,0,1,1,Clear,0.54,0.5152,0.64,0.4179,7,98,105,Morning Peak
3826,2011-06-13,Summer,0,6,7,0,1,1,Clear,0.56,0.5303,0.56,0.3582,26,302,328,Morning Peak
3827,2011-06-13,Summer,0,6,8,0,1,1,Clear,0.58,0.5455,0.49,0.4478,44,432,476,Morning Peak
3828,2011-06-13,Summer,0,6,9,0,1,1,Clear,0.62,0.6212,0.46,0.3582,35,189,224,Morning Peak
3829,2011-06-13,Summer,0,6,10,0,1,1,Clear,0.64,0.6212,0.41,0.3284,38,80,118,Morning Peak
3830,2011-06-13,Summer,0,6,11,0,1,1,Clear,0.66,0.6212,0.41,0.2985,53,106,159,Mid-day
3831,2011-06-13,Summer,0,6,12,0,1,1,Clear,0.66,0.6212,0.41,0.2836,35,161,196,Mid-day
3832,2011-06-13,Summer,0,6,13,0,1,1,Clear,0.7,0.6364,0.37,0.0,53,174,227,Mid-day
3833,2011-06-13,Summer,0,6,14,0,1,1,Clear,0.7,0.6364,0.34,0.2537,55,145,200,Mid-day
3834,2011-06-13,Summer,0,6,15,0,1,1,Clear,0.7,0.6364,0.37,0.4478,58,127,185,Mid-day
3835,2011-06-13,Summer,0,6,16,0,1,1,Clear,0.7,0.6364,0.37,0.4179,64,262,326,Evening Peak
3836,2011-06-13,Summer,0,6,17,0,1,1,Clear,0.7,0.6364,0.39,0.3284,72,529,601,Evening Peak
3837,2011-06-13,Summer,0,6,18,0,1,1,Clear,0.7,0.6364,0.37,0.3582,76,510,586,Evening Peak
3838,2011-06-13,Summer,0,6,19,0,1,1,Clear,0.66,0.6212,0.39,0.2836,75,348,423,Evening Peak
3839,2011-06-13,Summer,0,6,20,0,1,1,Clear,0.64,0.6212,0.44,0.2537,78,253,331,Evening Peak
3840,2011-06-13,Summer,0,6,21,0,1,1,Clear,0.64,0.6212,0.41,0.2537,40,178,218,Off-peak/Night
3841,2011-06-13,Summer,0,6,22,0,1,1,Clear,0.62,0.6212,0.46,0.2239,20,114,134,Off-peak/Night
3842,2011-06-13,Summer,0,6,23,0,1,1,Clear,0.62,0.6212,0.46,0.194,14,75,89,Off-peak/Night
3843,2011-06-14,Summer,0,6,0,0,2,1,Clear,0.6,0.6212,0.49,0.194,13,18,31,Off-peak/Night
3844,2011-06-14,Summer,0,6,1,0,2,1,Clear,0.6,0.6212,0.49,0.2537,3,10,13,Off-peak/Night
3845,2011-06-14,Summer,0,6,2,0,2,1,Clear,0.6,0.6212,0.49,0.2836,2,8,10,Off-peak/Night
3846,2011-06-14,Summer,0,6,3,0,2,1,Clear,0.58,0.5455,0.53,0.3284,1,1,2,Off-peak/Night
3847,2011-06-14,Summer,0,6,4,0,2,1,Clear,0.54,0.5152,0.6,0.2537,0,3,3,Off-peak/Night
3848,2011-06-14,Summer,0,6,5,0,2,1,Clear,0.54,0.5152,0.56,0.3284,3,23,26,Off-peak/Night
3849,2011-06-14,Summer,0,6,6,0,2,1,Clear,0.54,0.5152,0.56,0.2985,6,107,113,Morning Peak
3850,2011-06-14,Summer,0,6,7,0,2,1,Clear,0.56,0.5303,0.52,0.4179,19,346,365,Morning Peak
3851,2011-06-14,Summer,0,6,8,0,2,1,Clear,0.58,0.5455,0.49,0.3881,45,441,486,Morning Peak
3852,2011-06-14,Summer,0,6,9,0,2,1,Clear,0.62,0.6212,0.46,0.194,19,174,193,Morning Peak
3853,2011-06-14,Summer,0,6,10,0,2,1,Clear,0.62,0.6212,0.46,0.2239,33,97,130,Morning Peak
3854,2011-06-14,Summer,0,6,11,0,2,1,Clear,0.64,0.6212,0.41,0.2836,40,103,143,Mid-day
3855,2011-06-14,Summer,0,6,12,0,2,1,Clear,0.64,0.6212,0.41,0.3582,30,139,169,Mid-day
3856,2011-06-14,Summer,0,6,13,0,2,1,Clear,0.64,0.6212,0.44,0.2239,33,176,209,Mid-day
3857,2011-06-14,Summer,0,6,14,0,2,1,Cloudy,0.64,0.6212,0.47,0.194,41,118,159,Mid-day
3858,2011-06-14,Summer,0,6,15,0,2,1,Clear,0.64,0.6212,0.47,0.1642,42,136,178,Mid-day
3859,2011-06-14,Summer,0,6,16,0,2,1,Clear,0.68,0.6364,0.41,0.194,51,279,330,Evening Peak
3860,2011-06-14,Summer,0,6,17,0,2,1,Light Rain/Snow,0.64,0.6212,0.5,0.2836,85,484,569,Evening Peak
3861,2011-06-14,Summer,0,6,18,0,2,1,Clear,0.62,0.6212,0.51,0.3284,65,473,538,Evening Peak
3862,2011-06-14,Summer,0,6,19,0,2,1,Clear,0.64,0.6212,0.5,0.3582,51,335,386,Evening Peak
3863,2011-06-14,Summer,0,6,20,0,2,1,Clear,0.6,0.6212,0.56,0.1642,60,237,297,Evening Peak
3864,2011-06-14,Summer,0,6,21,0,2,1,Clear,0.6,0.6212,0.56,0.2985,37,206,243,Off-peak/Night
3865,2011-06-14,Summer,0,6,22,0,2,1,Clear,0.58,0.5455,0.6,0.2239,29,159,188,Off-peak/Night
3866,2011-06-14,Summer,0,6,23,0,2,1,Clear,0.56,0.5303,0.68,0.2239,19,91,110,Off-peak/Night
3867,2011-06-15,Summer,0,6,0,0,3,1,Clear,0.56,0.5303,0.64,0.3582,8,44,52,Off-peak/Night
3868,2011-06-15,Summer,0,6,1,0,3,1,Clear,0.54,0.5152,0.64,0.2836,0,14,14,Off-peak/Night
3869,2011-06-15,Summer,0,6,2,0,3,1,Clear,0.52,0.5,0.63,0.2239,0,9,9,Off-peak/Night
3870,2011-06-15,Summer,0,6,3,0,3,1,Clear,0.5,0.4848,0.68,0.2537,0,1,1,Off-peak/Night
3871,2011-06-15,Summer,0,6,4,0,3,1,Clear,0.5,0.4848,0.63,0.2836,0,4,4,Off-peak/Night
3872,2011-06-15,Summer,0,6,5,0,3,1,Clear,0.48,0.4697,0.67,0.2836,1,20,21,Off-peak/Night
3873,2011-06-15,Summer,0,6,6,0,3,1,Clear,0.5,0.4848,0.63,0.2537,11,110,121,Morning Peak
3874,2011-06-15,Summer,0,6,7,0,3,1,Clear,0.54,0.5152,0.6,0.1343,22,348,370,Morning Peak
3875,2011-06-15,Summer,0,6,8,0,3,1,Clear,0.58,0.5455,0.53,0.1343,53,445,498,Morning Peak
3876,2011-06-15,Summer,0,6,9,0,3,1,Clear,0.6,0.6212,0.49,0.0,22,185,207,Morning Peak
3877,2011-06-15,Summer,0,6,10,0,3,1,Clear,0.64,0.6212,0.47,0.1642,27,108,135,Morning Peak
3878,2011-06-15,Summer,0,6,11,0,3,1,Clear,0.68,0.6364,0.36,0.0,49,115,164,Mid-day
3879,2011-06-15,Summer,0,6,12,0,3,1,Clear,0.7,0.6364,0.34,0.2239,33,178,211,Mid-day
3880,2011-06-15,Summer,0,6,13,0,3,1,Clear,0.74,0.6515,0.28,0.2836,43,146,189,Mid-day
3881,2011-06-15,Summer,0,6,14,0,3,1,Clear,0.74,0.6515,0.28,0.0,50,128,178,Mid-day
3882,2011-06-15,Summer,0,6,15,0,3,1,Clear,0.76,0.6667,0.27,0.0,33,131,164,Mid-day
3883,2011-06-15,Summer,0,6,16,0,3,1,Clear,0.76,0.6667,0.27,0.1343,47,265,312,Evening Peak
3884,2011-06-15,Summer,0,6,17,0,3,1,Clear,0.74,0.6515,0.28,0.1045,83,555,638,Evening Peak
3885,2011-06-15,Summer,0,6,18,0,3,1,Clear,0.72,0.6515,0.32,0.1343,80,527,607,Evening Peak
3886,2011-06-15,Summer,0,6,19,0,3,1,Clear,0.7,0.6364,0.37,0.2836,54,362,416,Evening Peak
3887,2011-06-15,Summer,0,6,20,0,3,1,Clear,0.66,0.6212,0.44,0.1642,57,273,330,Evening Peak
3888,2011-06-15,Summer,0,6,21,0,3,1,Clear,0.64,0.6212,0.47,0.2239,48,209,257,Off-peak/Night
3889,2011-06-15,Summer,0,6,22,0,3,1,Clear,0.62,0.6212,0.5,0.1045,31,144,175,Off-peak/Night
3890,2011-06-15,Summer,0,6,23,0,3,1,Clear,0.62,0.6212,0.53,0.0,17,90,107,Off-peak/Night
3891,2011-06-16,Summer,0,6,0,0,4,1,Clear,0.6,0.6212,0.56,0.1045,9,38,47,Off-peak/Night
3892,2011-06-16,Summer,0,6,1,0,4,1,Clear,0.58,0.5455,0.6,0.0,4,13,17,Off-peak/Night
3893,2011-06-16,Summer,0,6,2,0,4,1,Clear,0.6,0.6212,0.56,0.0896,1,4,5,Off-peak/Night
3894,2011-06-16,Summer,0,6,3,0,4,1,Cloudy,0.56,0.5303,0.73,0.0896,0,4,4,Off-peak/Night
3895,2011-06-16,Summer,0,6,4,0,4,1,Cloudy,0.56,0.5303,0.68,0.1045,0,6,6,Off-peak/Night
3896,2011-06-16,Summer,0,6,5,0,4,1,Clear,0.6,0.6061,0.64,0.194,7,18,25,Off-peak/Night
3897,2011-06-16,Summer,0,6,6,0,4,1,Light Rain/Snow,0.58,0.5455,0.73,0.1642,8,104,112,Morning Peak
3898,2011-06-16,Summer,0,6,7,0,4,1,Light Rain/Snow,0.56,0.5303,0.78,0.1642,16,172,188,Morning Peak
3899,2011-06-16,Summer,0,6,8,0,4,1,Cloudy,0.6,0.5909,0.69,0.1343,24,364,388,Morning Peak
3900,2011-06-16,Summer,0,6,9,0,4,1,Cloudy,0.62,0.6061,0.65,0.194,29,232,261,Morning Peak
3901,2011-06-16,Summer,0,6,10,0,4,1,Cloudy,0.66,0.6212,0.61,0.2537,18,103,121,Morning Peak
3902,2011-06-16,Summer,0,6,11,0,4,1,Cloudy,0.68,0.6364,0.61,0.2985,33,117,150,Mid-day
3903,2011-06-16,Summer,0,6,12,0,4,1,Clear,0.72,0.6667,0.54,0.3881,41,165,206,Mid-day
3904,2011-06-16,Summer,0,6,13,0,4,1,Cloudy,0.72,0.6667,0.54,0.2537,37,114,151,Mid-day
3905,2011-06-16,Summer,0,6,14,0,4,1,Cloudy,0.72,0.6667,0.54,0.3284,39,114,153,Mid-day
3906,2011-06-16,Summer,0,6,15,0,4,1,Cloudy,0.7,0.6515,0.61,0.2985,32,127,159,Mid-day
3907,2011-06-16,Summer,0,6,16,0,4,1,Light Rain/Snow,0.66,0.6212,0.69,0.194,36,258,294,Evening Peak
3908,2011-06-16,Summer,0,6,17,0,4,1,Cloudy,0.64,0.5909,0.78,0.1045,42,230,272,Evening Peak
3909,2011-06-16,Summer,0,6,18,0,4,1,Clear,0.64,0.5758,0.83,0.2239,26,299,325,Evening Peak
3910,2011-06-16,Summer,0,6,19,0,4,1,Clear,0.62,0.5758,0.83,0.2836,58,269,327,Evening Peak
3911,2011-06-16,Summer,0,6,20,0,4,1,Clear,0.62,0.5758,0.83,0.3284,25,176,201,Evening Peak
3912,2011-06-16,Summer,0,6,21,0,4,1,Light Rain/Snow,0.62,0.5758,0.83,0.2537,34,154,188,Off-peak/Night
3913,2011-06-16,Summer,0,6,22,0,4,1,Light Rain/Snow,0.62,0.5758,0.83,0.2537,24,127,151,Off-peak/Night
3914,2011-06-16,Summer,0,6,23,0,4,1,Light Rain/Snow,0.6,0.5606,0.83,0.2537,2,14,16,Off-peak/Night
3915,2011-06-17,Summer,0,6,0,0,5,1,Clear,0.56,0.5303,0.88,0.0896,3,21,24,Off-peak/Night
3916,2011-06-17,Summer,0,6,1,0,5,1,Clear,0.56,0.5303,0.94,0.1343,4,19,23,Off-peak/Night
3917,2011-06-17,Summer,0,6,2,0,5,1,Clear,0.56,0.5303,0.94,0.1045,2,11,13,Off-peak/Night
3918,2011-06-17,Summer,0,6,3,0,5,1,Clear,0.56,0.5303,0.94,0.1045,1,5,6,Off-peak/Night
3919,2011-06-17,Summer,0,6,4,0,5,1,Clear,0.54,0.5152,0.94,0.1343,1,5,6,Off-peak/Night
3920,2011-06-17,Summer,0,6,5,0,5,1,Clear,0.54,0.5152,1.0,0.0,1,12,13,Off-peak/Night
3921,2011-06-17,Summer,0,6,6,0,5,1,Clear,0.56,0.5303,0.94,0.0,8,89,97,Morning Peak
3922,2011-06-17,Summer,0,6,7,0,5,1,Clear,0.6,0.5606,0.83,0.0,25,225,250,Morning Peak
3923,2011-06-17,Summer,0,6,8,0,5,1,Cloudy,0.6,0.5606,0.83,0.0,28,426,454,Morning Peak
3924,2011-06-17,Summer,0,6,9,0,5,1,Clear,0.7,0.6515,0.58,0.194,28,196,224,Morning Peak
3925,2011-06-17,Summer,0,6,10,0,5,1,Clear,0.7,0.6515,0.58,0.194,44,126,170,Morning Peak
3926,2011-06-17,Summer,0,6,11,0,5,1,Clear,0.68,0.6364,0.69,0.2537,43,138,181,Mid-day
3927,2011-06-17,Summer,0,6,12,0,5,1,Clear,0.7,0.6515,0.65,0.2537,49,194,243,Mid-day
3928,2011-06-17,Summer,0,6,13,0,5,1,Clear,0.74,0.6818,0.62,0.2836,48,156,204,Mid-day
3929,2011-06-17,Summer,0,6,14,0,5,1,Clear,0.76,0.697,0.52,0.194,73,142,215,Mid-day
3930,2011-06-17,Summer,0,6,15,0,5,1,Clear,0.78,0.697,0.43,0.2239,62,181,243,Mid-day
3931,2011-06-17,Summer,0,6,16,0,5,1,Clear,0.76,0.6818,0.45,0.1642,69,286,355,Evening Peak
3932,2011-06-17,Summer,0,6,17,0,5,1,Light Rain/Snow,0.76,0.6818,0.4,0.194,85,467,552,Evening Peak
3933,2011-06-17,Summer,0,6,18,0,5,1,Light Rain/Snow,0.76,0.6818,0.4,0.194,62,388,450,Evening Peak
3934,2011-06-17,Summer,0,6,19,0,5,1,Light Rain/Snow,0.64,0.5758,0.83,0.2537,53,275,328,Evening Peak
3935,2011-06-17,Summer,0,6,20,0,5,1,Clear,0.64,0.5909,0.78,0.1045,40,192,232,Evening Peak
3936,2011-06-17,Summer,0,6,21,0,5,1,Clear,0.64,0.5909,0.78,0.0896,49,159,208,Off-peak/Night
3937,2011-06-17,Summer,0,6,22,0,5,1,Clear,0.62,0.5606,0.88,0.1343,48,127,175,Off-peak/Night
3938,2011-06-17,Summer,0,6,23,0,5,1,Clear,0.62,0.5758,0.83,0.1343,37,141,178,Off-peak/Night
3939,2011-06-18,Summer,0,6,0,0,6,0,Clear,0.62,0.5606,0.88,0.1343,21,83,104,Off-peak/Night
3940,2011-06-18,Summer,0,6,1,0,6,0,Clear,0.62,0.5758,0.83,0.1045,15,80,95,Off-peak/Night
3941,2011-06-18,Summer,0,6,2,0,6,0,Clear,0.6,0.5455,0.88,0.0,16,37,53,Off-peak/Night
3942,2011-06-18,Summer,0,6,3,0,6,0,Clear,0.6,0.5455,0.88,0.0896,4,16,20,Off-peak/Night
3943,2011-06-18,Summer,0,6,4,0,6,0,Clear,0.6,0.5455,0.88,0.0896,1,4,5,Off-peak/Night
3944,2011-06-18,Summer,0,6,5,0,6,0,Clear,0.62,0.5758,0.83,0.0,1,6,7,Off-peak/Night
3945,2011-06-18,Summer,0,6,6,0,6,0,Clear,0.62,0.5758,0.83,0.1045,9,18,27,Morning Peak
3946,2011-06-18,Summer,0,6,7,0,6,0,Clear,0.64,0.5909,0.78,0.1343,12,45,57,Morning Peak
3947,2011-06-18,Summer,0,6,8,0,6,0,Clear,0.66,0.6061,0.78,0.0896,28,103,131,Morning Peak
3948,2011-06-18,Summer,0,6,9,0,6,0,Clear,0.7,0.6515,0.61,0.2239,62,156,218,Morning Peak
3949,2011-06-18,Summer,0,6,10,0,6,0,Clear,0.72,0.6818,0.62,0.194,68,176,244,Morning Peak
3950,2011-06-18,Summer,0,6,11,0,6,0,Clear,0.72,0.6818,0.62,0.1343,134,270,404,Mid-day
3951,2011-06-18,Summer,0,6,12,0,6,0,Clear,0.74,0.697,0.66,0.0896,162,258,420,Mid-day
3952,2011-06-18,Summer,0,6,13,0,6,0,Clear,0.76,0.697,0.55,0.0,135,192,327,Mid-day
3953,2011-06-18,Summer,0,6,14,0,6,0,Cloudy,0.8,0.7273,0.46,0.2836,138,196,334,Mid-day
3954,2011-06-18,Summer,0,6,15,0,6,0,Cloudy,0.82,0.7576,0.46,0.1343,153,214,367,Mid-day
3955,2011-06-18,Summer,0,6,16,0,6,0,Cloudy,0.76,0.697,0.52,0.2239,193,275,468,Evening Peak
3956,2011-06-18,Summer,0,6,17,0,6,0,Cloudy,0.76,0.6818,0.48,0.1642,210,239,449,Evening Peak
3957,2011-06-18,Summer,0,6,18,0,6,0,Cloudy,0.74,0.6818,0.55,0.194,118,263,381,Evening Peak
3958,2011-06-18,Summer,0,6,19,0,6,0,Cloudy,0.74,0.6667,0.51,0.1045,99,227,326,Evening Peak
3959,2011-06-18,Summer,0,6,20,0,6,0,Cloudy,0.72,0.6667,0.58,0.1343,61,127,188,Evening Peak
3960,2011-06-18,Summer,0,6,21,0,6,0,Cloudy,0.72,0.6818,0.66,0.1045,58,125,183,Off-peak/Night
3961,2011-06-18,Summer,0,6,22,0,6,0,Cloudy,0.72,0.6818,0.62,0.1343,56,105,161,Off-peak/Night
3962,2011-06-18,Summer,0,6,23,0,6,0,Cloudy,0.72,0.6818,0.62,0.0,53,97,150,Off-peak/Night
3963,2011-06-19,Summer,0,6,0,0,0,0,Clear,0.7,0.6515,0.65,0.0,18,71,89,Off-peak/Night
3964,2011-06-19,Summer,0,6,1,0,0,0,Cloudy,0.7,0.6515,0.65,0.0896,17,59,76,Off-peak/Night
3965,2011-06-19,Summer,0,6,2,0,0,0,Clear,0.68,0.6364,0.74,0.0896,13,59,72,Off-peak/Night
3966,2011-06-19,Summer,0,6,3,0,0,0,Cloudy,0.66,0.6061,0.78,0.1343,14,16,30,Off-peak/Night
3967,2011-06-19,Summer,0,6,4,0,0,0,Cloudy,0.66,0.6212,0.74,0.1343,7,10,17,Off-peak/Night
3968,2011-06-19,Summer,0,6,5,0,0,0,Cloudy,0.66,0.6061,0.78,0.0,7,12,19,Off-peak/Night
3969,2011-06-19,Summer,0,6,6,0,0,0,Cloudy,0.66,0.6061,0.78,0.1642,11,22,33,Morning Peak
3970,2011-06-19,Summer,0,6,7,0,0,0,Cloudy,0.66,0.6061,0.78,0.1642,35,36,71,Morning Peak
3971,2011-06-19,Summer,0,6,8,0,0,0,Light Rain/Snow,0.68,0.6364,0.74,0.1045,25,59,84,Morning Peak
3972,2011-06-19,Summer,0,6,9,0,0,0,Cloudy,0.68,0.6364,0.74,0.1045,58,111,169,Morning Peak
3973,2011-06-19,Summer,0,6,10,0,0,0,Cloudy,0.7,0.6515,0.61,0.1045,86,158,244,Morning Peak
3974,2011-06-19,Summer,0,6,11,0,0,0,Cloudy,0.72,0.6667,0.58,0.0896,141,236,377,Mid-day
3975,2011-06-19,Summer,0,6,12,0,0,0,Cloudy,0.74,0.6818,0.55,0.0896,141,255,396,Mid-day
3976,2011-06-19,Summer,0,6,13,0,0,0,Cloudy,0.74,0.6667,0.51,0.0,149,214,363,Mid-day
3977,2011-06-19,Summer,0,6,14,0,0,0,Light Rain/Snow,0.74,0.6818,0.58,0.1045,124,193,317,Mid-day
3978,2011-06-19,Summer,0,6,15,0,0,0,Cloudy,0.74,0.6818,0.55,0.1045,146,216,362,Mid-day
3979,2011-06-19,Summer,0,6,16,0,0,0,Cloudy,0.76,0.6818,0.48,0.0,121,257,378,Evening Peak
3980,2011-06-19,Summer,0,6,17,0,0,0,Clear,0.74,0.6667,0.51,0.0,159,238,397,Evening Peak
3981,2011-06-19,Summer,0,6,18,0,0,0,Cloudy,0.74,0.6818,0.58,0.0896,78,218,296,Evening Peak
3982,2011-06-19,Summer,0,6,19,0,0,0,Clear,0.72,0.6818,0.62,0.1343,94,217,311,Evening Peak
3983,2011-06-19,Summer,0,6,20,0,0,0,Clear,0.7,0.6515,0.7,0.194,86,146,232,Evening Peak
3984,2011-06-19,Summer,0,6,21,0,0,0,Clear,0.68,0.6364,0.79,0.1343,57,110,167,Off-peak/Night
3985,2011-06-19,Summer,0,6,22,0,0,0,Clear,0.66,0.6061,0.78,0.2239,38,114,152,Off-peak/Night
3986,2011-06-19,Summer,0,6,23,0,0,0,Clear,0.66,0.6061,0.78,0.194,14,78,92,Off-peak/Night
3987,2011-06-20,Summer,0,6,0,0,1,1,Clear,0.66,0.6061,0.83,0.1642,7,19,26,Off-peak/Night
3988,2011-06-20,Summer,0,6,1,0,1,1,Clear,0.64,0.5758,0.89,0.0896,9,3,12,Off-peak/Night
3989,2011-06-20,Summer,0,6,2,0,1,1,Clear,0.64,0.5758,0.89,0.0896,2,0,2,Off-peak/Night
3990,2011-06-20,Summer,0,6,3,0,1,1,Light Rain/Snow,0.64,0.5758,0.89,0.0,1,0,1,Off-peak/Night
3991,2011-06-20,Summer,0,6,4,0,1,1,Light Rain/Snow,0.62,0.5606,0.88,0.1642,1,2,3,Off-peak/Night
3992,2011-06-20,Summer,0,6,5,0,1,1,Light Rain/Snow,0.62,0.5758,0.83,0.1343,0,3,3,Off-peak/Night
3993,2011-06-20,Summer,0,6,6,0,1,1,Light Rain/Snow,0.6,0.5758,0.78,0.1343,1,25,26,Morning Peak
3994,2011-06-20,Summer,0,6,7,0,1,1,Light Rain/Snow,0.56,0.5303,0.88,0.194,0,46,46,Morning Peak
3995,2011-06-20,Summer,0,6,8,0,1,1,Light Rain/Snow,0.56,0.5303,0.83,0.194,12,209,221,Morning Peak
3996,2011-06-20,Summer,0,6,9,0,1,1,Cloudy,0.6,0.5758,0.78,0.2537,19,200,219,Morning Peak
3997,2011-06-20,Summer,0,6,10,0,1,1,Cloudy,0.6,0.5758,0.78,0.2537,33,58,91,Morning Peak
3998,2011-06-20,Summer,0,6,11,0,1,1,Cloudy,0.6,0.5758,0.78,0.1045,27,67,94,Mid-day
3999,2011-06-20,Summer,0,6,12,0,1,1,Cloudy,0.62,0.6061,0.69,0.1045,33,129,162,Mid-day
4000,2011-06-20,Summer,0,6,13,0,1,1,Clear,0.64,0.6061,0.65,0.1045,50,129,179,Mid-day
4001,2011-06-20,Summer,0,6,14,0,1,1,Clear,0.66,0.6212,0.61,0.1045,45,130,175,Mid-day
4002,2011-06-20,Summer,0,6,15,0,1,1,Clear,0.66,0.6212,0.61,0.1343,66,139,205,Mid-day
4003,2011-06-20,Summer,0,6,16,0,1,1,Clear,0.7,0.6515,0.58,0.1642,61,238,299,Evening Peak
4004,2011-06-20,Summer,0,6,17,0,1,1,Clear,0.7,0.6515,0.54,0.0,81,484,565,Evening Peak
4005,2011-06-20,Summer,0,6,18,0,1,1,Clear,0.7,0.6515,0.61,0.2537,64,474,538,Evening Peak
4006,2011-06-20,Summer,0,6,19,0,1,1,Clear,0.66,0.6212,0.65,0.2239,62,369,431,Evening Peak
4007,2011-06-20,Summer,0,6,20,0,1,1,Clear,0.66,0.6212,0.69,0.2239,52,264,316,Evening Peak
4008,2011-06-20,Summer,0,6,21,0,1,1,Clear,0.64,0.6061,0.73,0.1642,39,167,206,Off-peak/Night
4009,2011-06-20,Summer,0,6,22,0,1,1,Cloudy,0.64,0.6061,0.73,0.2239,24,106,130,Off-peak/Night
4010,2011-06-20,Summer,0,6,23,0,1,1,Clear,0.62,0.5909,0.78,0.2537,10,50,60,Off-peak/Night
